Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
394;Standard;0;Kartesisch;1.800;-1.500;-3.806;
395;Standard;0;Kartesisch;1.800;-1.600;-3.820;
396;Standard;0;Kartesisch;1.800;-1.700;-3.834;
397;Standard;0;Kartesisch;1.800;-1.800;-3.848;
398;Standard;0;Kartesisch;1.800;-1.900;-3.861;
399;Standard;0;Kartesisch;1.800;-2.000;-3.875;
400;Standard;0;Kartesisch;1.900;0.000;-3.625;
401;Standard;0;Kartesisch;1.900;-0.100;-3.638;
402;Standard;0;Kartesisch;1.900;-0.200;-3.651;
403;Standard;0;Kartesisch;1.900;-0.300;-3.664;
404;Standard;0;Kartesisch;1.900;-0.400;-3.678;
405;Standard;0;Kartesisch;1.900;-0.500;-3.691;
406;Standard;0;Kartesisch;1.900;-0.600;-3.704;
407;Standard;0;Kartesisch;1.900;-0.700;-3.717;
408;Standard;0;Kartesisch;1.900;-0.800;-3.730;
409;Standard;0;Kartesisch;1.900;-0.900;-3.743;
410;Standard;0;Kartesisch;1.900;-1.000;-3.756;
411;Standard;0;Kartesisch;1.900;-1.100;-3.769;
412;Standard;0;Kartesisch;1.900;-1.200;-3.783;
413;Standard;0;Kartesisch;1.900;-1.300;-3.796;
414;Standard;0;Kartesisch;1.900;-1.400;-3.809;
415;Standard;0;Kartesisch;1.900;-1.500;-3.822;
416;Standard;0;Kartesisch;1.900;-1.600;-3.835;
417;Standard;0;Kartesisch;1.900;-1.700;-3.848;
418;Standard;0;Kartesisch;1.900;-1.800;-3.861;
419;Standard;0;Kartesisch;1.900;-1.900;-3.874;
420;Standard;0;Kartesisch;1.900;-2.000;-3.888;
421;Standard;0;Kartesisch;2.000;0.000;-3.650;
422;Standard;0;Kartesisch;2.000;-0.100;-3.663;
423;Standard;0;Kartesisch;2.000;-0.200;-3.675;
424;Standard;0;Kartesisch;2.000;-0.300;-3.688;
425;Standard;0;Kartesisch;2.000;-0.400;-3.700;
426;Standard;0;Kartesisch;2.000;-0.500;-3.713;
427;Standard;0;Kartesisch;2.000;-0.600;-3.725;
428;Standard;0;Kartesisch;2.000;-0.700;-3.738;
429;Standard;0;Kartesisch;2.000;-0.800;-3.750;
430;Standard;0;Kartesisch;2.000;-0.900;-3.763;
431;Standard;0;Kartesisch;2.000;-1.000;-3.775;
432;Standard;0;Kartesisch;2.000;-1.100;-3.788;
433;Standard;0;Kartesisch;2.000;-1.200;-3.800;
434;Standard;0;Kartesisch;2.000;-1.300;-3.813;
435;Standard;0;Kartesisch;2.000;-1.400;-3.825;
436;Standard;0;Kartesisch;2.000;-1.500;-3.838;
437;Standard;0;Kartesisch;2.000;-1.600;-3.850;
438;Standard;0;Kartesisch;2.000;-1.700;-3.863;
439;Standard;0;Kartesisch;2.000;-1.800;-3.875;
440;Standard;0;Kartesisch;2.000;-1.900;-3.888;
441;Standard;0;Kartesisch;2.000;-2.000;-3.900;
442;Standard;0;Kartesisch;0.000;-2.400;-3.750;
443;Standard;0;Kartesisch;0.000;-2.800;-3.850;
444;Standard;0;Kartesisch;0.000;-3.200;-3.950;
445;Standard;0;Kartesisch;0.000;-3.600;-4.050;
446;Standard;0;Kartesisch;0.000;-4.000;-4.150;
447;Standard;0;Kartesisch;0.400;-2.400;-3.790;
448;Standard;0;Kartesisch;0.400;-2.800;-3.880;
449;Standard;0;Kartesisch;0.400;-3.200;-3.970;
450;Standard;0;Kartesisch;0.400;-3.600;-4.060;
